key,enabled,identity,password,username
user-account-administrator-03,true,"UserIdentity{name: 'Admin', surname: 'Acme', email: 'admin@acme.com'}",administrator1,administrator1
user-account-administrator-04,true,"UserIdentity{name: 'Admin', surname: 'Acme', email: 'admin@acme.com'}",administrator2,administrator2
user-account-lecturer-01,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer1,lecturer1
user-account-lecturer-02,true,"UserIdentity{name: 'kvra', surname: 'Dona', email: 'lecturer1@acme.com'}",lecturer2,lecturer2
user-account-lecturer-03,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer3,lecturer3
user-account-lecturer-04,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer4,lecturer4
user-account-lecturer-05,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer5,lecturer5
user-account-lecturer-06,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer6,lecturer6
user-account-lecturer-07,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer7,lecturer7
user-account-lecturer-08,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer8,lecturer8
user-account-lecturer-09,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer9,lecturer9
user-account-lecturer-10,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer10,lecturer10
user-account-lecturer-11,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer11,lecturer11
user-account-lecturer-12,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer12,lecturer12
user-account-lecturer-13,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer13,lecturer13
user-account-lecturer-14,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer14,lecturer14
user-account-lecturer-15,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer15,lecturer15
user-account-lecturer-16,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer16,lecturer16
user-account-lecturer-17,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer17,lecturer17
user-account-lecturer-18,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer18,lecturer18
user-account-lecturer-19,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer19,lecturer19
user-account-lecturer-20,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer20,lecturer20
user-account-lecturer-21,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer21,lecturer21
user-account-lecturer-22,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer22,lecturer22
user-account-lecturer-23,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer23,lecturer23
user-account-lecturer-24,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer24,lecturer24
user-account-lecturer-25,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer25,lecturer25
user-account-lecturer-26,true,"UserIdentity{name: 'Guaje', surname: 'Begines', email: 'lecturer1@acme.com'}",lecturer26,lecturer26
user-account-auditor-01,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Javier', surname: 'Varo', email: 'auditor1@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor3,auditor3
user-account-auditor-04,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor4,auditor4
user-account-auditor-05,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor5,auditor5
user-account-auditor-06,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor6,auditor6
user-account-auditor-07,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor7,auditor7
user-account-auditor-08,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor8,auditor8
user-account-auditor-09,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor9,auditor9
user-account-auditor-10,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor10,auditor10
user-account-auditor-11,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor11,auditor11
user-account-auditor-12,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor12,auditor12
user-account-auditor-13,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor13,auditor13
user-account-auditor-14,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor14,auditor14
user-account-auditor-15,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor15,auditor15
user-account-auditor-16,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor16,auditor16
user-account-auditor-17,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor17,auditor17
user-account-auditor-18,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor18,auditor18
user-account-auditor-19,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor19,auditor19
user-account-auditor-20,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor20,auditor20
user-account-auditor-21,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor21,auditor21
user-account-auditor-22,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor22,auditor22
user-account-auditor-23,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor23,auditor23
user-account-auditor-24,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor24,auditor24
user-account-auditor-25,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor25,auditor25
user-account-auditor-26,true,"UserIdentity{name: 'Pablo', surname: 'Mera', email: 'auditor1@acme.com'}",auditor26,auditor26
